"Artist","Option 1","Option 2","Option 3","Option 4","Option 5"
"a.perfect.circle","tool","system.of.a.down","dredg","incubus","metallica"
"abba","the.beatles","madonna","queen","coldplay","robbie.williams"
"ac.dc","red.hot.chili.peppers","metallica","rammstein","die.toten.hosen","the.beatles"
"adam.green","coldplay","radiohead","the.beatles","the.kooks","foo.fighters"
"aerosmith","metallica","red.hot.chili.peppers","ac.dc","jack.johnson","linkin.park"
"afi","rise.against","billy.talent","system.of.a.down","fall.out.boy","linkin.park"
"air","coldplay","massive.attack","radiohead","goldfrapp","portishead"
"alanis.morissette","red.hot.chili.peppers","coldplay","tori.amos","jack.johnson","alicia.keys"
"alexisonfire","rise.against","atreyu","killswitch.engage","billy.talent","underoath"
"alicia.keys","beyonce","amy.winehouse","red.hot.chili.peppers","norah.jones","rihanna"
"all.that.remains","as.i.lay.dying","heaven.shall.burn","killswitch.engage","bullet.for.my.valentine","in.flames"
"amon.amarth","in.flames","equilibrium","ensiferum","metallica","die.apokalyptischen.reiter"
"amy.macdonald","coldplay","amy.winehouse","peter.fox","the.kooks","maria.mena"
"amy.winehouse","jack.johnson","coldplay","the.killers","norah.jones","the.kooks"
"anti.flag","rise.against","die.toten.hosen","billy.talent","nofx","bad.religion"
"aphex.twin","portishead","bjork","radiohead","boards.of.canada","depeche.mode"
"apocalyptica","metallica","rammstein","subway.to.sally","in.extremo","system.of.a.down"
"arcade.fire","the.shins","bloc.party","radiohead","the.killers","belle.and.sebastian"
"arch.enemy","in.flames","children.of.bodom","slayer","amon.amarth","subway.to.sally"
"arctic.monkeys","the.killers","the.kooks","bloc.party","mando.diao","muse"
"as.i.lay.dying","killswitch.engage","heaven.shall.burn","in.flames","atreyu","parkway.drive"
"atb","scooter","nelly.furtado","rihanna","daft.punk","the.prodigy"
"atreyu","as.i.lay.dying","rise.against","killswitch.engage","bullet.for.my.valentine","linkin.park"
"audioslave","linkin.park","red.hot.chili.peppers","foo.fighters","rage.against.the.machine","pearl.jam"
"avril.lavigne","linkin.park","evanescence","coldplay","nightwish","system.of.a.down"
"babyshambles","arctic.monkeys","the.kooks","the.libertines","the.killers","death.cab.for.cutie"
"bad.religion","rise.against","red.hot.chili.peppers","die.toten.hosen","nofx","the.offspring"
"beastie.boys","bloc.party","red.hot.chili.peppers","the.chemical.brothers","daft.punk","massive.attack"
"beatsteaks","billy.talent","red.hot.chili.peppers","foo.fighters","linkin.park","arctic.monkeys"
"beck","radiohead","modest.mouse","death.cab.for.cutie","the.white.stripes","coldplay"
"beirut","the.decemberists","the.shins","death.cab.for.cutie","radiohead","modest.mouse"
