"Artist","Option 1","Option 2","Option 3","Option 4","Option 5"
"a.perfect.circle","tool","deftones","dredg","nine.inch.nails","the.smashing.pumpkins"
"abba","madonna","elvis.presley","queen","mika","michael.jackson"
"ac.dc","the.offspring","iron.maiden","red.hot.chili.peppers","black.sabbath","metallica"
"adam.green","the.strokes","the.libertines","babyshambles","the.kooks","interpol"
"aerosmith","u2","led.zeppelin","lenny.kravitz","ac.dc","jack.johnson"
"afi","anti.flag","rise.against","millencolin","nofx","sum.41"
"air","nouvelle.vague","daft.punk","massive.attack","coldplay","jamiroquai"
"alanis.morissette","alicia.keys","tori.amos","robbie.williams","bruce.springsteen","norah.jones"
"alexisonfire","atreyu","underoath","silverstein","killswitch.engage","caliban"
"alicia.keys","beyonce","maria.mena","lenny.kravitz","black.eyed.peas","alanis.morissette"
"all.that.remains","heaven.shall.burn","as.i.lay.dying","chimaira","caliban","trivium"
"amon.amarth","dark.tranquillity","equilibrium","ensiferum","children.of.bodom","die.apokalyptischen.reiter"
"amy.macdonald","lily.allen","maria.mena","leona.lewis","amy.winehouse","james.morrison"
"amy.winehouse","norah.jones","amy.macdonald","jack.johnson","arctic.monkeys","leona.lewis"
"anti.flag","nofx","rise.against","bad.religion","millencolin","afi"
"aphex.twin","elliott.smith","portishead","cocorosie","the.clash","beastie.boys"
"apocalyptica","in.extremo","subway.to.sally","manowar","blind.guardian","metallica"
"arcade.fire","the.shins","the.national","interpol","stars","belle.and.sebastian"
"arch.enemy","children.of.bodom","slayer","kreator","dark.tranquillity","in.flames"
"arctic.monkeys","franz.ferdinand","the.kooks","muse","mando.diao","the.white.stripes"
"as.i.lay.dying","killswitch.engage","heaven.shall.burn","all.that.remains","bring.me.the.horizon","caliban"
"atb","scooter","faithless","bloodhound.gang","groove.coverage","rihanna"
"atreyu","underoath","silverstein","killswitch.engage","alexisonfire","trivium"
"audioslave","seether","pearl.jam","rage.against.the.machine","foo.fighters","lostprophets"
"avril.lavigne","simple.plan","christina.aguilera","pink","lady.gaga","leona.lewis"
"babyshambles","the.libertines","arctic.monkeys","franz.ferdinand","blur","belle.and.sebastian"
"bad.religion","nofx","anti.flag","millencolin","rise.against","flogging.molly"
"beastie.boys","travis","digitalism","feist","crystal.castles","thievery.corporation"
"beatsteaks","billy.talent","foo.fighters","farin.urlaub","red.hot.chili.peppers","arctic.monkeys"
"beck","sufjan.stevens","the.notwist","radiohead","elliott.smith","modest.mouse"
"beirut","the.decemberists","the.shins","the.national","arcade.fire","cocorosie"
"belle.and.sebastian","the.shins","sufjan.stevens","the.decemberists","arcade.fire","elliott.smith"
"beyonce","alicia.keys","leona.lewis","the.pussycat.dolls","christina.aguilera","rihanna"
"billy.talent","blink.182","the.offspring","rise.against","beatsteaks","linkin.park"
"bjork","nouvelle.vague","feist","radiohead","portishead","air"
"black.eyed.peas","christina.aguilera","katy.perry","rihanna","the.pussycat.dolls","beyonce"
"black.sabbath","deep.purple","iron.maiden","ac.dc","slayer","volbeat"
"blind.guardian","finntroll","iron.maiden","hammerfall","korpiklaani","subway.to.sally"
"blink.182","sum.41","billy.talent","the.offspring","paramore","green.day"
"bloc.party","death.cab.for.cutie","the.kooks","the.killers","arctic.monkeys","coldplay"
"bloodhound.gang","the.offspring","atb","scooter","disturbed","green.day"
"blur","babyshambles","the.hives","the.rolling.stones","the.strokes","arctic.monkeys"
"boards.of.canada","mogwai","thievery.corporation","portishead","cat.power","elliott.smith"
